Nombre,Correspondencia,ID,Tiempo,Flujo
TACUBAYA,Estacion Terminal y Correspondencia Linea 1 y 7,2,2,10.533
PATRIOTISMO,N/A,116,0,3.753
CHILPANCINGO,N/A,117,0,8.892
CENTRO MEDICO,Correspondencia Linea 3,53,4,2.901
LAZARO CARDENAS,N/A,118,0,2.314
CHABACANO,Correspondencia Linea 2 y 8,35,4,2.119
JAMAICA,Correspondencia Linea 4,70,5,2.721
MAXIUHCA,N/A,119,0,3.785
VELODROMO,N/A,120,0,1.518
CIUDAD DEPORTIVA,N/A,121,0,1.213
PUEBLA,N/A,122,0,7.348
PANTITLAN,Estacion Terminal y Correspondencia Linea 1 5 y A,20,6,21.514
