Nombre,Correspondencia,ID,Tiempo,Flujo
CIUDAD AZTECA,Estacion Terminal,132,0,12.303
PLAZA ARAGON,N/A,133,0,4.713
OLIMPICA,N/A,134,0,3.096
ECATEPEC,N/A,135,0,5.712
MUZQUIZ,N/A,136,0,6.996
RIO DE LOS REMEDIOS,N/A,137,0,4.506
IMPULSORA,N/A,138,0,5.356
NEZAHUALCOYOTL,N/A,139,0,4.66
VILLA DE ARAGON,N/A,140,0,2.71
BOSQUE DE ARAGON,N/A,141,0,1.142
DEPORTIVO OCEANIA,N/A,142,0,2.659
OCEANIA,Correspondencia Linea 5,74,4,2.457
ROMERO RUBIO,N/A,143,0,1.712
RICARDO FLORES MAGON,N/A,144,0,1.464
SAN LAZARO,Correspondencia Linea 1,14,4,2.7
MORELOS,Correspondencia Linea 4,68,6,1.495
TEPITO,N/A,145,0,4.741
LAGUNILLA,N/A,146,0,4.923
GARIBALDI/LAGUNILLA,Correspondencia Linea 8,101,5,1.477
GUERRERO,Correspondencia Linea 3,49,5,1.37
BUENAVISTA,Estacion Terminal,147,0,11.631
